id,product_name,product_description,product_mark,product_model,category,subcategory,product_price,product_discount,product_quantity
98,Procesador Intel Core I5-12600k,Core i5 es una nomenclatura que designa procesadores de gama media o media-alta de la marca Intel. Se caracterizan por un precio accesible y prestaciones suficientes como para emplearse en ordenadores preparados para ejecutar programas complejos o juegos que necesiten potencia ligeramente superior.,Intel,I5-12600k,Componentes de ordenador,Procesadores,750.00,5.00,10
99,Procesador AMD Ryzen 5 3600 3.6GHz SOCKET AM4 3ª GEN,Brinda un inicio rápido del equipo y la capacidad de reproducir gráficos en resolución 4K para videos y juegos. ,AMD,Ryzen 5 3600,Componentes de ordenador,Procesadores,1150.00,5.00,5
100,Tarjeta gráfica NVIDIA GeForce RTX 3080,Tarjeta gráfica de alta gama para gaming y edición de video.,NVIDIA,RTX 3080,Componentes de ordenador,Gráficas,1200.00,10.00,5
101,Memoria RAM Corsair Vengeance LPX 16GB,Memoria RAM DDR4 para alto rendimiento en ordenadores de juegos y edición.,Corsair,Vengeance LPX,Componentes de ordenador,Memoria RAM,90.00,15.00,20
102,Placa base ASUS ROG Strix Z690-E,Placa base gaming con soporte para procesadores de última generación Intel.,ASUS,ROG Strix Z690-E,Componentes de ordenador,Placas base,400.00,5.00,7
103,Disco duro SSD Samsung 970 EVO 1TB,Unidad SSD de alta velocidad para mejorar tiempos de carga y almacenamiento.,Samsung,970 EVO,Componentes de ordenador,Almacenamiento,150.00,10.00,12
104,Fuente de alimentación EVGA SuperNOVA 750W,Fuente de alimentación de alta eficiencia para componentes exigentes.,EVGA,SuperNOVA 750W,Componentes de ordenador,Fuentes de alimentación,120.00,8.00,10
105,Teclado mecánico Razer BlackWidow V3,Teclado mecánico con interruptores verdes para una experiencia de escritura táctil.,Razer,BlackWidow V3,Componentes de ordenador,Periféricos,150.00,5.00,15
106,Mouse Logitech G502 HERO,Ratón gaming de alta precisión con sensor HERO 25K y 11 botones programables.,Logitech,G502 HERO,Componentes de ordenador,Periféricos,75.00,10.00,25
107,"Monitor Samsung Odyssey G7 32""",Monitor curvo de 32 pulgadas con resolución QHD y tasa de refresco de 240Hz.,Samsung,Odyssey G7,Componentes de ordenador,Monitores,600.00,10.00,8
108,Disco duro externo WD My Passport 4TB,Disco duro externo portátil de 4TB para almacenamiento masivo.,Western Digital,My Passport 4TB,Componentes de ordenador,Almacenamiento,120.00,5.00,10
109,Auriculares HyperX Cloud II,Auriculares gaming con sonido envolvente 7.1 y micrófono desmontable.,HyperX,Cloud II,Componentes de ordenador,Periféricos,100.00,10.00,20
110,Tarjeta gráfica AMD Radeon RX 6800 XT,Tarjeta gráfica de alto rendimiento para juegos y gráficos exigentes.,AMD,RX 6800 XT,Componentes de ordenador,Gráficas,1100.00,7.00,4
111,Procesador AMD Ryzen 9 5900X,Procesador de 12 núcleos para juegos y productividad extrema.,AMD,Ryzen 9 5900X,Componentes de ordenador,Procesadores,550.00,5.00,10
112,Disipador líquido NZXT Kraken Z73,Sistema de enfriamiento líquido de 360mm para CPUs de alto rendimiento.,NZXT,Kraken Z73,Componentes de ordenador,Refrigeración,250.00,5.00,5
113,Memoria RAM G.Skill Trident Z RGB 32GB,Memoria RAM DDR4 con iluminación RGB y rendimiento optimizado para juegos.,G.Skill,Trident Z RGB,Componentes de ordenador,Memoria RAM,200.00,12.00,15
114,Placa base MSI MPG B550 Gaming Plus,Placa base con soporte para procesadores AMD Ryzen y PCIe 4.0.,MSI,MPG B550,Componentes de ordenador,Placas base,180.00,8.00,12
115,Caja de ordenador NZXT H510,Caja de ordenador minimalista con panel lateral de vidrio templado.,NZXT,H510,Componentes de ordenador,Cajas,100.00,5.00,8
116,Mouse pad SteelSeries QcK,Mouse pad de tela con superficie optimizada para un deslizamiento suave.,SteelSeries,QcK,Componentes de ordenador,Periféricos,30.00,15.00,50
117,Refrigeración líquida Corsair H100i,Sistema de enfriamiento líquido de 240mm con iluminación RGB.,Corsair,H100i,Componentes de ordenador,Refrigeración,180.00,10.00,6
118,Procesador Intel Core i7-13700K,Procesador de 16 núcleos optimizado para juegos y multitarea extrema.,Intel,Core i7-13700K,Componentes de ordenador,Procesadores,620.00,5.00,8
119,Tarjeta gráfica NVIDIA GeForce RTX 4080,Tarjeta gráfica de última generación para gaming en 4K y edición de video profesional.,NVIDIA,RTX 4080,Componentes de ordenador,Gráficas,1500.00,10.00,5
